onset	duration	amount	Probability	choseAccept	RT	choseRight
15.223	4	71	0.36	0	0.705	1
23.256	4	50	0.39	0	1.008	1
38.288	4	63	0.57	0	1.575	1
44.322	4	49	0.43	0	0.741	1
54.354	4	47	0.72	0	2.253	1
63.388	4	57	0.3	0	0.995	1
73.42	4	49	0.71	1	1.802	0
78.471	4	50	0.57	0	1.015	1
83.537	4	35	0.73	0	1.053	1
88.587	4	83	0.32	0	0.843	1
103.619	4	52	0.47	0	1.339	1
110.652	4	29	0.83	0	1.625	1
120.685	4	72	0.33	0	1.352	1
127.735	4	75	0.48	0	1.022	1
135.768	4	76	0.26	0	0.853	1
141.801	4	57	0.58	0	1.036	1
151.835	4	46	0.77	0	1.505	1
163.867	4	22	0.98	0	1.241	1
171.9	4	54	0.52	0	1.416	1
193.949	4	33	0.8	0	1.686	1
201.983	4	82	0.31	0	2.068	1
212.032	4	55	0.44	0	1.707	1
219.065	4	28	0.89	0	1.258	1
236.098	4	82	0.09	0	1.168	1
246.147	4	71	0.19	0	0.887	1
259.18	4	83	0.54	0	1.566	1
270.23	4	68	0.64	1	1.091	0
281.263	4	41	0.63	0	1.562	1
294.296	4	42	0.6	0	1.345	1
309.328	4	77	0.43	0	1.056	1
