onset	duration	amount	Probability	choseAccept	RT	choseRight
15.1	4	70	0.34	0	1.531	0
22.15	4	72	0.4	0	1.753	0
33.183	4	32	0.57	0	1.528	0
41.216	4	64	0.33	0	0.903	0
50.249	4	33	0.91	1	2.245	1
57.282	4	46	0.48	0	1.196	0
69.332	4	28	0.63	0	1.682	0
77.381	4	82	0.29	0	1.217	0
96.431	4	61	0.5	0	1.758	0
101.48	4	82	0.23	0	1.485	0
110.53	4	40	0.79	1	1.555	1
121.563	4	73	0.74	1	1.594	1
132.596	4	83	0.3	0	1.048	0
141.646	4	35	0.78	0	1.734	0
148.695	4	24	0.96	0	1.581	0
157.745	4	66	0.25	0	1.331	0
164.795	4	58	0.62	1	2.472	1
177.828	4	76	0.43	0	1.279	0
194.877	4	50	0.48	0	1.83	0
202.927	4	45	0.37	0	2.292	0
208.96	4	58	0.46	0	0.866	0
232.026	4	70	0.61	1	2.536	1
240.059	4	85	0.59	1	2.351	1
248.108	4	82	0.47	0	1.909	0
257.141	4	82	0.25	0	1.036	0
275.191	4	83	0.28	0	0.858	0
280.241	4	74	0.39	0	2.04	0
288.274	4	56	0.49	0	1.558	0
297.307	4	46	0.33	0	1.173	0
308.34	4	25	0.91	0	1.684	0
