onset	duration	amount	Delay	choseAccept	RT	choseRight
18.966	4	34	43	1	1.841	0
24.015	4	27	142	0	1.12	1
34.065	4	45	72	1	1.47	0
43.115	4	43	19	1	1.74	0
50.148	4	52	139	1	0.947	0
68.18	4	54	22	1	0.834	0
79.23	4	70	108	1	0.776	0
89.263	4	82	74	1	0.631	0
104.296	4	73	44	1	0.333	0
113.345	4	29	75	0	1.932	1
126.395	4	45	157	1	0.794	0
136.428	4	63	37	1	1.008	0
153.461	4	80	145	1	2.055	0
158.511	4	61	141	1	0.765	0
172.56	4	25	108	0	1.452	1
180.61	4	74	121	1	0.561	0
186.643	4	41	27	1	1.048	0
195.676	4	55	163	1	0.839	0
204.709	4	60	124	1	0.758	0
212.742	4	29	44	0	2.789	1
220.775	4	81	58	1	1.091	0
229.808	4	28	132	0	1.154	1
238.858	4	24	125	0	1.44	1
245.891	4	39	161	0	2.223	1
251.924	4	74	52	1	0.87	0
263.99	4	77	142	1	0.531	0
274.023	4	43	120	1	0.89	0
286.056	4	42	145	1	1.145	0
299.089	4	75	41	1	0.903	0
309.138	4	65	159	1	0.71	0
