onset	duration	amount	Probability	choseAccept	RT	choseRight
17.274	4	53	0.54	0	1.518	1
23.324	4	21	0.93	0	1.388	1
39.356	4	62	0.18	0	1.739	1
46.389	4	58	0.42	0	2.218	1
58.439	4	31	0.61	0	2.472	1
72.472	4	49	0.44	0	2.286	1
80.505	4	43	0.69	0	2.829	1
87.555	4	76	0.44	0	1.315	1
95.604	4	79	0.49	0	1.674	1
108.637	4	23	0.83	0	1.696	1
118.687	4	30	0.7	0	1.294	1
138.719	4	72	0.34	0	0.886	1
148.753	4	62	0.3	0	0.867	1
157.802	4	22	0.96	0	1.122	1
170.835	4	72	0.5	0	1.033	1
185.884	4	21	0.96	0	1.152	1
196.934	4	81	0.1	0	0.885	1
205.984	4	64	0.34	0	1.411	1
214.017	4	22	0.89	0	1.49	1
220.05	4	39	0.49	0	0.929	1
232.083	4	56	0.68	1	1.495	0
239.116	4	21	0.97	0	1.094	1
246.149	4	70	0.39	0	1.085	1
256.198	4	75	0.24	0	0.916	1
264.248	4	58	0.45	0	1.77	1
273.281	4	78	0.42	0	1.32	1
281.314	4	61	0.67	1	1.199	0
286.364	4	31	0.79	0	1.477	1
297.397	4	77	0.38	0	1.276	1
308.43	4	56	0.44	0	0.826	1
