onset	duration	amount	Delay	choseAccept	RT	choseRight
19.362	4	67	74	1	1.246	1
29.395	4	83	105	1	0.821	1
38.429	4	27	130	0	1.122	0
49.461	4	34	176	0	2.322	0
63.494	4	35	171	0	1.849	0
78.543	4	66	145	1	1.263	1
84.577	4	62	180	1	1.133	1
101.626	4	23	61	0	1.956	0
109.659	4	23	176	0	1.307	0
120.692	4	43	38	1	2.089	1
125.742	4	32	111	0	1.935	0
130.808	4	36	114	0	1.461	0
143.841	4	66	71	1	1.06	1
160.874	4	24	89	0	1.634	0
168.923	4	69	172	1	1.553	1
176.973	4	45	26	1	2.135	1
190.023	4	32	57	0	1.813	0
200.072	4	23	134	0	1.579	0
206.105	4	22	27	0	1.09	0
217.138	4	25	176	0	1.713	0
225.188	4	85	129	1	2.143	1
234.221	4	44	92	1	1.613	1
240.254	4	39	95	1	1.692	1
250.287	4	22	21	0	0.891	0
259.32	4	77	161	1	0.97	1
266.37	4	33	163	0	1.528	0
277.403	4	23	42	0	1.014	0
287.452	4	67	23	0	1.477	0
297.485	4	45	107	1	1.236	1
308.535	4	67	103	1	1.754	1
