onset	duration	amount	Delay	choseAccept	RT	choseRight
17.461	4	30	36	1	1.202	1
27.511	4	66	58	1	1.032	1
37.56	4	36	140	1	2.111	1
48.593	4	64	89	1	2.286	1
56.643	4	25	141	0	0.995	0
66.676	4	76	161	1	2.122	1
75.709	4	54	23	1	1.225	1
82.742	4	71	88	1	1.4	1
91.792	4	30	23	1	1.534	1
98.841	4	48	128	1	1.324	1
109.874	4	28	59	0	1.891	0
119.907	4	65	137	1	1.146	1
131.94	4	79	92	1	1.529	1
142.973	4	27	91	0	2.775	0
153.006	4	31	76	1	1.47	1
161.056	4	78	129	1	1.124	1
173.089	4	41	55	1	2.251	1
194.155	4	80	39	1	1.256	1
208.187	4	78	108	1	1.128	1
216.22	4	24	38	0	1.534	0
223.27	4	41	174	1	1.964	1
234.303	4	50	59	1	1.507	1
243.336	4	77	24	1	0.906	1
254.369	4	57	89	1	1.169	1
262.419	4	24	87	0	1.31	0
274.452	4	32	74	1	1.701	1
283.501	4	55	107	1	1.388	1
288.551	4	23	77	0	1.074	0
294.584	4	25	74	0	1.632	0
308.634	4	33	78	0	1.934	0
